Genotype,Trait,Year,Location,Rep,Population,Phenotype,Heritability_Source
GEN_014,yield,2022,Mills_River_NC,1,North,4.4298620547034595,Ferrão et al. 2021
GEN_015,yield,2022,Mills_River_NC,1,South,5.051253946646582,Ferrão et al. 2021
GEN_016,yield,2022,Mills_River_NC,1,North,3.4821280132084933,Ferrão et al. 2021
GEN_017,yield,2022,Mills_River_NC,1,North,2.0360626642778747,Ferrão et al. 2021
GEN_018,yield,2022,Mills_River_NC,1,South,1.400576489857202,Ferrão et al. 2021
GEN_019,yield,2022,Mills_River_NC,1,North,0.2456677650863912,Ferrão et al. 2021
GEN_020,yield,2022,Mills_River_NC,1,North,2.2167605823104632,Ferrão et al. 2021
GEN_021,yield,2022,Mills_River_NC,1,North,5.761795785076469,Ferrão et al. 2021
GEN_022,yield,2022,Mills_River_NC,1,South,2.5898805983365936,Ferrão et al. 2021
GEN_023,yield,2022,Mills_River_NC,1,North,1.03474431267859,Ferrão et al. 2021
GEN_024,yield,2022,Mills_River_NC,1,South,4.10912987821074,Ferrão et al. 2021
GEN_025,yield,2022,Mills_River_NC,1,North,2.3264724569420276,Ferrão et al. 2021
GEN_026,yield,2022,Mills_River_NC,1,South,3.143005956168703,Ferrão et al. 2021
GEN_027,yield,2022,Mills_River_NC,1,North,2.595625436676829,Ferrão et al. 2021
GEN_028,yield,2022,Mills_River_NC,1,North,2.6555550759598425,Ferrão et al. 2021
GEN_029,yield,2022,Mills_River_NC,1,North,3.6540077567650013,Ferrão et al. 2021
GEN_030,yield,2022,Mills_River_NC,1,South,3.3100254274913894,Ferrão et al. 2021
GEN_031,yield,2022,Mills_River_NC,1,North,2.9252120971245703,Ferrão et al. 2021
GEN_032,yield,2022,Mills_River_NC,1,North,4.605976279563102,Ferrão et al. 2021
GEN_033,yield,2022,Mills_River_NC,1,South,2.9751089071013688,Ferrão et al. 2021
GEN_034,yield,2022,Mills_River_NC,1,North,3.6049800181548592,Ferrão et al. 2021
GEN_035,yield,2022,Mills_River_NC,1,South,3.2276673724175198,Ferrão et al. 2021
GEN_036,yield,2022,Mills_River_NC,1,North,4.342276245530312,Ferrão et al. 2021
GEN_037,yield,2022,Mills_River_NC,1,North,2.414831740754577,Ferrão et al. 2021
GEN_038,yield,2022,Mills_River_NC,1,South,3.613464865877471,Ferrão et al. 2021
GEN_039,yield,2022,Mills_River_NC,1,North,3.3947140337075394,Ferrão et al. 2021
GEN_040,yield,2022,Mills_River_NC,1,North,5.761428948009268,Ferrão et al. 2021
GEN_041,yield,2022,Mills_River_NC,1,North,3.199948548827397,Ferrão et al. 2021
GEN_042,yield,2022,Mills_River_NC,1,South,2.6567872468780607,Ferrão et al. 2021
GEN_043,yield,2022,Mills_River_NC,1,North,2.2262071018139373,Ferrão et al. 2021
GEN_044,yield,2022,Mills_River_NC,1,North,4.9778632352291465,Ferrão et al. 2021
GEN_045,yield,2022,Mills_River_NC,1,North,4.446596095381533,Ferrão et al. 2021
GEN_046,yield,2022,Mills_River_NC,1,North,0.31435785254541937,Ferrão et al. 2021
GEN_047,yield,2022,Mills_River_NC,1,South,0.7361811423061468,Ferrão et al. 2021
GEN_048,yield,2022,Mills_River_NC,1,North,3.4250090241567386,Ferrão et al. 2021
GEN_049,yield,2022,Mills_River_NC,1,North,4.441438337298827,Ferrão et al. 2021
GEN_050,yield,2022,Mills_River_NC,1,South,1.673150560648299,Ferrão et al. 2021
GEN_051,yield,2022,Mills_River_NC,1,South,2.6702181271405085,Ferrão et al. 2021
GEN_052,yield,2022,Mills_River_NC,1,North,2.7146461941402986,Ferrão et al. 2021
GEN_053,yield,2022,Mills_River_NC,1,South,1.3546265340621821,Ferrão et al. 2021
GEN_054,yield,2022,Mills_River_NC,1,North,1.868161024723101,Ferrão et al. 2021
GEN_055,yield,2022,Mills_River_NC,1,North,0.35111227490658936,Ferrão et al. 2021
GEN_056,yield,2022,Mills_River_NC,1,South,3.9555966482444287,Ferrão et al. 2021
GEN_057,yield,2022,Mills_River_NC,1,South,2.5755782401422302,Ferrão et al. 2021
GEN_058,yield,2022,Mills_River_NC,1,North,1.3835408543001433,Ferrão et al. 2021
GEN_059,yield,2022,Mills_River_NC,1,South,4.479898333394711,Ferrão et al. 2021
GEN_060,yield,2022,Mills_River_NC,1,North,4.276875142252291,Ferrão et al. 2021
GEN_061,yield,2022,Mills_River_NC,1,North,3.2653718698774368,Ferrão et al. 2021
GEN_062,yield,2022,Mills_River_NC,1,South,3.0890392387549004,Ferrão et al. 2021
GEN_063,yield,2022,Mills_River_NC,1,South,1.8892465937194387,Ferrão et al. 2021
GEN_064,yield,2022,Mills_River_NC,1,North,2.049960045080095,Ferrão et al. 2021
GEN_065,yield,2022,Mills_River_NC,1,North,3.476915872025588,Ferrão et al. 2021
GEN_066,yield,2022,Mills_River_NC,1,North,0.4453545812231172,Ferrão et al. 2021
GEN_067,yield,2022,Mills_River_NC,1,North,4.788246210503852,Ferrão et al. 2021
GEN_068,yield,2022,Mills_River_NC,1,North,4.33344440178673,Ferrão et al. 2021
GEN_069,yield,2022,Mills_River_NC,1,South,2.776126705224009,Ferrão et al. 2021
GEN_070,yield,2022,Mills_River_NC,1,North,2.9101661243834362,Ferrão et al. 2021
GEN_071,yield,2022,Mills_River_NC,1,North,3.5745853703333275,Ferrão et al. 2021
GEN_072,yield,2022,Mills_River_NC,1,North,0.7274172245702535,Ferrão et al. 2021
GEN_073,yield,2022,Mills_River_NC,1,North,3.508443833851901,Ferrão et al. 2021
GEN_074,yield,2022,Mills_River_NC,1,North,3.061953074017996,Ferrão et al. 2021
GEN_075,yield,2022,Mills_River_NC,1,North,3.8985611819668566,Ferrão et al. 2021
GEN_076,yield,2022,Mills_River_NC,1,North,3.631032920451714,Ferrão et al. 2021
GEN_077,yield,2022,Mills_River_NC,1,South,2.9784588684400055,Ferrão et al. 2021
GEN_078,yield,2022,Mills_River_NC,1,South,3.7025810111517763,Ferrão et al. 2021
GEN_079,yield,2022,Mills_River_NC,1,North,5.068888042270481,Ferrão et al. 2021
GEN_080,yield,2022,Mills_River_NC,1,South,5.145892637702023,Ferrão et al. 2021
GEN_081,yield,2022,Mills_River_NC,1,South,3.953126125880306,Ferrão et al. 2021
GEN_082,yield,2022,Mills_River_NC,1,North,1.2790243203041904,Ferrão et al. 2021
GEN_083,yield,2022,Mills_River_NC,1,North,2.0372720754551676,Ferrão et al. 2021
GEN_084,yield,2022,Mills_River_NC,1,North,1.869550817923288,Ferrão et al. 2021
GEN_085,yield,2022,Mills_River_NC,1,South,0.09295557622007844,Ferrão et al. 2021
GEN_086,yield,2022,Mills_River_NC,1,South,1.988435516223808,Ferrão et al. 2021
GEN_087,yield,2022,Mills_River_NC,1,North,3.0624973461496654,Ferrão et al. 2021
GEN_088,yield,2022,Mills_River_NC,1,South,6.521117536516133,Ferrão et al. 2021
GEN_089,yield,2022,Mills_River_NC,1,North,2.380502523511143,Ferrão et al. 2021
GEN_090,yield,2022,Mills_River_NC,1,South,3.1847542303360123,Ferrão et al. 2021
GEN_091,yield,2022,Mills_River_NC,1,South,2.8020427612713292,Ferrão et al. 2021
GEN_092,yield,2022,Mills_River_NC,1,South,2.6935615443191994,Ferrão et al. 2021
GEN_093,yield,2022,Mills_River_NC,1,South,1.7473472814433668,Ferrão et al. 2021
GEN_094,yield,2022,Mills_River_NC,1,North,2.4626227759383155,Ferrão et al. 2021
GEN_095,yield,2022,Mills_River_NC,1,North,6.555234092354082,Ferrão et al. 2021
GEN_096,yield,2022,Mills_River_NC,1,North,3.653361127256572,Ferrão et al. 2021
GEN_097,yield,2022,Mills_River_NC,1,South,3.486624563526812,Ferrão et al. 2021
GEN_098,yield,2022,Mills_River_NC,1,South,3.0577828873364696,Ferrão et al. 2021
GEN_099,yield,2022,Mills_River_NC,1,North,3.2825940527782227,Ferrão et al. 2021
GEN_100,yield,2022,Mills_River_NC,1,North,3.255333543220191,Ferrão et al. 2021
GEN_001,yield,2022,Mills_River_NC,2,North,3.848859899037972,Ferrão et al. 2021
GEN_002,yield,2022,Mills_River_NC,2,North,2.9362050340106376,Ferrão et al. 2021
GEN_003,yield,2022,Mills_River_NC,2,South,3.0003658088038194,Ferrão et al. 2021
GEN_004,yield,2022,Mills_River_NC,2,South,4.754471822766298,Ferrão et al. 2021
GEN_005,yield,2022,Mills_River_NC,2,South,4.502291431931745,Ferrão et al. 2021
GEN_006,yield,2022,Mills_River_NC,2,North,3.193434193017072,Ferrão et al. 2021
GEN_007,yield,2022,Mills_River_NC,2,North,0.7287066783363918,Ferrão et al. 2021
GEN_008,yield,2022,Mills_River_NC,2,South,1.8866876266246126,Ferrão et al. 2021
GEN_009,yield,2022,Mills_River_NC,2,South,2.449583907283741,Ferrão et al. 2021
GEN_010,yield,2022,Mills_River_NC,2,South,4.274247518458906,Ferrão et al. 2021
GEN_011,yield,2022,Mills_River_NC,2,South,2.078712040542796,Ferrão et al. 2021
GEN_012,yield,2022,Mills_River_NC,2,North,3.0358741253776986,Ferrão et al. 2021
GEN_013,yield,2022,Mills_River_NC,2,South,3.314771257643512,Ferrão et al. 2021
GEN_014,yield,2022,Mills_River_NC,2,North,3.150514028311287,Ferrão et al. 2021
GEN_015,yield,2022,Mills_River_NC,2,South,5.726532619253072,Ferrão et al. 2021
GEN_016,yield,2022,Mills_River_NC,2,North,1.233262668621836,Ferrão et al. 2021
GEN_017,yield,2022,Mills_River_NC,2,North,2.418787975068332,Ferrão et al. 2021
GEN_018,yield,2022,Mills_River_NC,2,South,2.723356800918631,Ferrão et al. 2021
GEN_019,yield,2022,Mills_River_NC,2,North,2.1450405604780163,Ferrão et al. 2021
GEN_020,yield,2022,Mills_River_NC,2,North,1.872086215623331,Ferrão et al. 2021
GEN_021,yield,2022,Mills_River_NC,2,North,5.464091614703374,Ferrão et al. 2021
GEN_022,yield,2022,Mills_River_NC,2,South,3.465042172374384,Ferrão et al. 2021
GEN_023,yield,2022,Mills_River_NC,2,North,2.383024434522983,Ferrão et al. 2021
GEN_024,yield,2022,Mills_River_NC,2,South,2.5405931367679884,Ferrão et al. 2021
GEN_025,yield,2022,Mills_River_NC,2,North,3.132984969324654,Ferrão et al. 2021
GEN_026,yield,2022,Mills_River_NC,2,South,4.274508757816678,Ferrão et al. 2021
GEN_027,yield,2022,Mills_River_NC,2,North,0.8890484737699964,Ferrão et al. 2021
GEN_028,yield,2022,Mills_River_NC,2,North,4.079008552390601,Ferrão et al. 2021
GEN_029,yield,2022,Mills_River_NC,2,North,3.2658298502434953,Ferrão et al. 2021
GEN_030,yield,2022,Mills_River_NC,2,South,2.701597423603997,Ferrão et al. 2021
GEN_031,yield,2022,Mills_River_NC,2,North,4.246480291940048,Ferrão et al. 2021
GEN_032,yield,2022,Mills_River_NC,2,North,4.468781728912677,Ferrão et al. 2021
GEN_033,yield,2022,Mills_River_NC,2,South,1.4909705303647127,Ferrão et al. 2021
GEN_034,yield,2022,Mills_River_NC,2,North,2.0959479433119355,Ferrão et al. 2021
GEN_035,yield,2022,Mills_River_NC,2,South,3.9612209447551705,Ferrão et al. 2021
GEN_036,yield,2022,Mills_River_NC,2,North,5.62054107122075,Ferrão et al. 2021
GEN_037,yield,2022,Mills_River_NC,2,North,2.4285284489884518,Ferrão et al. 2021
GEN_038,yield,2022,Mills_River_NC,2,South,3.967184737977511,Ferrão et al. 2021
GEN_039,yield,2022,Mills_River_NC,2,North,4.118002881272441,Ferrão et al. 2021
GEN_040,yield,2022,Mills_River_NC,2,North,4.405351396836464,Ferrão et al. 2021
GEN_041,yield,2022,Mills_River_NC,2,North,2.700961465542859,Ferrão et al. 2021
GEN_042,yield,2022,Mills_River_NC,2,South,2.693714518104522,Ferrão et al. 2021
GEN_043,yield,2022,Mills_River_NC,2,North,3.038845769598169,Ferrão et al. 2021
GEN_044,yield,2022,Mills_River_NC,2,North,4.148315033750388,Ferrão et al. 2021
GEN_045,yield,2022,Mills_River_NC,2,North,3.334732799901379,Ferrão et al. 2021
GEN_046,yield,2022,Mills_River_NC,2,North,0.9918477147318796,Ferrão et al. 2021
GEN_047,yield,2022,Mills_River_NC,2,South,3.4139770025822056,Ferrão et al. 2021
GEN_048,yield,2022,Mills_River_NC,2,North,2.3225755704832207,Ferrão et al. 2021
GEN_049,yield,2022,Mills_River_NC,2,North,4.144087384974947,Ferrão et al. 2021
GEN_050,yield,2022,Mills_River_NC,2,South,2.197594907752049,Ferrão et al. 2021
GEN_051,yield,2022,Mills_River_NC,2,South,3.263776128721444,Ferrão et al. 2021
GEN_052,yield,2022,Mills_River_NC,2,North,5.5902255328891215,Ferrão et al. 2021
GEN_053,yield,2022,Mills_River_NC,2,South,3.608414406918839,Ferrão et al. 2021
GEN_054,yield,2022,Mills_River_NC,2,North,1.0304836544102316,Ferrão et al. 2021
GEN_055,yield,2022,Mills_River_NC,2,North,0.7417645166604401,Ferrão et al. 2021
GEN_056,yield,2022,Mills_River_NC,2,South,3.9521729285682152,Ferrão et al. 2021
GEN_057,yield,2022,Mills_River_NC,2,South,2.884180314140259,Ferrão et al. 2021
GEN_058,yield,2022,Mills_River_NC,2,North,5.1481928588586845,Ferrão et al. 2021
GEN_059,yield,2022,Mills_River_NC,2,South,2.256805959419745,Ferrão et al. 2021
GEN_060,yield,2022,Mills_River_NC,2,North,5.355031722920785,Ferrão et al. 2021
GEN_061,yield,2022,Mills_River_NC,2,North,3.436933054858236,Ferrão et al. 2021
GEN_062,yield,2022,Mills_River_NC,2,South,4.511466733098453,Ferrão et al. 2021
GEN_063,yield,2022,Mills_River_NC,2,South,2.5115051620087248,Ferrão et al. 2021
GEN_064,yield,2022,Mills_River_NC,2,North,1.6228449031999774,Ferrão et al. 2021
GEN_065,yield,2022,Mills_River_NC,2,North,4.222315881007809,Ferrão et al. 2021
GEN_066,yield,2022,Mills_River_NC,2,North,2.860103624667846,Ferrão et al. 2021
GEN_067,yield,2022,Mills_River_NC,2,North,4.06571187873944,Ferrão et al. 2021
GEN_068,yield,2022,Mills_River_NC,2,North,2.4198749002869073,Ferrão et al. 2021
GEN_069,yield,2022,Mills_River_NC,2,South,3.7174174915675984,Ferrão et al. 2021
GEN_070,yield,2022,Mills_River_NC,2,North,1.0724902472513094,Ferrão et al. 2021
GEN_071,yield,2022,Mills_River_NC,2,North,3.1565914229078835,Ferrão et al. 2021
GEN_072,yield,2022,Mills_River_NC,2,North,2.194868468555942,Ferrão et al. 2021
GEN_073,yield,2022,Mills_River_NC,2,North,2.469526178978958,Ferrão et al. 2021
GEN_074,yield,2022,Mills_River_NC,2,North,2.27354134894012,Ferrão et al. 2021
GEN_075,yield,2022,Mills_River_NC,2,North,4.650161359636308,Ferrão et al. 2021
GEN_076,yield,2022,Mills_River_NC,2,North,1.351096294074881,Ferrão et al. 2021
GEN_077,yield,2022,Mills_River_NC,2,South,2.746995433920497,Ferrão et al. 2021
GEN_078,yield,2022,Mills_River_NC,2,South,3.321672057311678,Ferrão et al. 2021
GEN_079,yield,2022,Mills_River_NC,2,North,3.327708169875112,Ferrão et al. 2021
GEN_080,yield,2022,Mills_River_NC,2,South,3.3354164191419464,Ferrão et al. 2021
GEN_081,yield,2022,Mills_River_NC,2,South,3.6013309353438707,Ferrão et al. 2021
GEN_082,yield,2022,Mills_River_NC,2,North,2.6218931221257598,Ferrão et al. 2021
GEN_083,yield,2022,Mills_River_NC,2,North,2.1244727516925552,Ferrão et al. 2021
GEN_084,yield,2022,Mills_River_NC,2,North,2.642296790611482,Ferrão et al. 2021
GEN_085,yield,2022,Mills_River_NC,2,South,1.1852773026017547,Ferrão et al. 2021
GEN_086,yield,2022,Mills_River_NC,2,South,3.2238254752472657,Ferrão et al. 2021
GEN_087,yield,2022,Mills_River_NC,2,North,2.3728919975953557,Ferrão et al. 2021
GEN_088,yield,2022,Mills_River_NC,2,South,3.346695567461039,Ferrão et al. 2021
GEN_089,yield,2022,Mills_River_NC,2,North,2.2818844627178128,Ferrão et al. 2021
GEN_090,yield,2022,Mills_River_NC,2,South,1.3844595219376004,Ferrão et al. 2021
GEN_091,yield,2022,Mills_River_NC,2,South,2.6128069067189608,Ferrão et al. 2021
GEN_092,yield,2022,Mills_River_NC,2,South,3.3508680592431714,Ferrão et al. 2021
GEN_093,yield,2022,Mills_River_NC,2,South,3.1564696299716135,Ferrão et al. 2021
GEN_094,yield,2022,Mills_River_NC,2,North,2.997440355138644,Ferrão et al. 2021
GEN_095,yield,2022,Mills_River_NC,2,North,4.0575899821504064,Ferrão et al. 2021
GEN_096,yield,2022,Mills_River_NC,2,North,3.088600936692123,Ferrão et al. 2021
GEN_097,yield,2022,Mills_River_NC,2,South,3.234492576090436,Ferrão et al. 2021
GEN_098,yield,2022,Mills_River_NC,2,South,3.117002536062868,Ferrão et al. 2021
GEN_099,yield,2022,Mills_River_NC,2,North,3.126589659331372,Ferrão et al. 2021
GEN_100,yield,2022,Mills_River_NC,2,North,3.87512375298932,Ferrão et al. 2021
GEN_001,yield,2022,Mills_River_NC,3,North,2.6952368438887717,Ferrão et al. 2021
GEN_002,yield,2022,Mills_River_NC,3,North,1.8696050753945328,Ferrão et al. 2021
GEN_003,yield,2022,Mills_River_NC,3,South,2.7326468559048775,Ferrão et al. 2021
GEN_004,yield,2022,Mills_River_NC,3,South,0.5014682182502699,Ferrão et al. 2021
GEN_005,yield,2022,Mills_River_NC,3,South,4.723737193970043,Ferrão et al. 2021
GEN_006,yield,2022,Mills_River_NC,3,North,3.429740872157646,Ferrão et al. 2021
GEN_007,yield,2022,Mills_River_NC,3,North,3.430201661044335,Ferrão et al. 2021
GEN_008,yield,2022,Mills_River_NC,3,South,1.7675728197141707,Ferrão et al. 2021
GEN_009,yield,2022,Mills_River_NC,3,South,3.031756788120468,Ferrão et al. 2021
GEN_010,yield,2022,Mills_River_NC,3,South,1.8670671255457578,Ferrão et al. 2021
GEN_011,yield,2022,Mills_River_NC,3,South,1.3801932821255651,Ferrão et al. 2021
GEN_012,yield,2022,Mills_River_NC,3,North,2.2961021519142215,Ferrão et al. 2021
GEN_013,yield,2022,Mills_River_NC,3,South,2.129190482886923,Ferrão et al. 2021
GEN_014,yield,2022,Mills_River_NC,3,North,3.5565457556152897,Ferrão et al. 2021
GEN_015,yield,2022,Mills_River_NC,3,South,5.117381878028048,Ferrão et al. 2021
GEN_016,yield,2022,Mills_River_NC,3,North,3.08530483520743,Ferrão et al. 2021
GEN_017,yield,2022,Mills_River_NC,3,North,3.3242235704331105,Ferrão et al. 2021
GEN_018,yield,2022,Mills_River_NC,3,South,3.571165096696591,Ferrão et al. 2021
GEN_019,yield,2022,Mills_River_NC,3,North,1.9255642820793413,Ferrão et al. 2021
GEN_020,yield,2022,Mills_River_NC,3,North,3.6475990291709532,Ferrão et al. 2021
GEN_021,yield,2022,Mills_River_NC,3,North,7.370792736588224,Ferrão et al. 2021
GEN_022,yield,2022,Mills_River_NC,3,South,4.519546860338059,Ferrão et al. 2021
GEN_023,yield,2022,Mills_River_NC,3,North,3.3507559735294463,Ferrão et al. 2021
GEN_024,yield,2022,Mills_River_NC,3,South,4.299369883736786,Ferrão et al. 2021
GEN_025,yield,2022,Mills_River_NC,3,North,2.9467058948604863,Ferrão et al. 2021
GEN_026,yield,2022,Mills_River_NC,3,South,3.2433631554338076,Ferrão et al. 2021
GEN_027,yield,2022,Mills_River_NC,3,North,2.4180298290058078,Ferrão et al. 2021
GEN_028,yield,2022,Mills_River_NC,3,North,3.737208544715029,Ferrão et al. 2021
GEN_029,yield,2022,Mills_River_NC,3,North,1.594084842286979,Ferrão et al. 2021
GEN_030,yield,2022,Mills_River_NC,3,South,4.955932130022241,Ferrão et al. 2021
GEN_031,yield,2022,Mills_River_NC,3,North,4.58386566777281,Ferrão et al. 2021
GEN_032,yield,2022,Mills_River_NC,3,North,1.763091503056281,Ferrão et al. 2021
GEN_033,yield,2022,Mills_River_NC,3,South,3.4947049512956454,Ferrão et al. 2021
GEN_034,yield,2022,Mills_River_NC,3,North,2.029369464228342,Ferrão et al. 2021
GEN_035,yield,2022,Mills_River_NC,3,South,3.6470007867043637,Ferrão et al. 2021
GEN_036,yield,2022,Mills_River_NC,3,North,3.723999802023861,Ferrão et al. 2021
GEN_037,yield,2022,Mills_River_NC,3,North,3.2004262997331865,Ferrão et al. 2021
GEN_038,yield,2022,Mills_River_NC,3,South,2.7624779522669556,Ferrão et al. 2021
GEN_039,yield,2022,Mills_River_NC,3,North,4.792176434755802,Ferrão et al. 2021
GEN_040,yield,2022,Mills_River_NC,3,North,4.505788196865236,Ferrão et al. 2021
GEN_041,yield,2022,Mills_River_NC,3,North,2.799340205847654,Ferrão et al. 2021
GEN_042,yield,2022,Mills_River_NC,3,South,0.9734391332261338,Ferrão et al. 2021
GEN_043,yield,2022,Mills_River_NC,3,North,3.2395043111888153,Ferrão et al. 2021
GEN_044,yield,2022,Mills_River_NC,3,North,4.432991207088049,Ferrão et al. 2021
GEN_045,yield,2022,Mills_River_NC,3,North,3.997853867619229,Ferrão et al. 2021
GEN_046,yield,2022,Mills_River_NC,3,North,1.9025714693840081,Ferrão et al. 2021
GEN_047,yield,2022,Mills_River_NC,3,South,-1.2685332333489237,Ferrão et al. 2021
GEN_048,yield,2022,Mills_River_NC,3,North,3.845828684134066,Ferrão et al. 2021
GEN_049,yield,2022,Mills_River_NC,3,North,2.8803900698546343,Ferrão et al. 2021
GEN_050,yield,2022,Mills_River_NC,3,South,4.381783103521048,Ferrão et al. 2021
GEN_051,yield,2022,Mills_River_NC,3,South,2.082786731493001,Ferrão et al. 2021
GEN_052,yield,2022,Mills_River_NC,3,North,3.224084930400306,Ferrão et al. 2021
GEN_053,yield,2022,Mills_River_NC,3,South,3.7607060411925053,Ferrão et al. 2021
GEN_054,yield,2022,Mills_River_NC,3,North,2.06363076881221,Ferrão et al. 2021
GEN_055,yield,2022,Mills_River_NC,3,North,-0.726946935457822,Ferrão et al. 2021
GEN_056,yield,2022,Mills_River_NC,3,South,1.8664120368218062,Ferrão et al. 2021
GEN_057,yield,2022,Mills_River_NC,3,South,2.421032594608299,Ferrão et al. 2021
GEN_058,yield,2022,Mills_River_NC,3,North,2.138160673778172,Ferrão et al. 2021
GEN_059,yield,2022,Mills_River_NC,3,South,2.138728075411323,Ferrão et al. 2021
GEN_060,yield,2022,Mills_River_NC,3,North,5.701364357200612,Ferrão et al. 2021
GEN_061,yield,2022,Mills_River_NC,3,North,3.534993174257622,Ferrão et al. 2021
GEN_062,yield,2022,Mills_River_NC,3,South,3.618907660584839,Ferrão et al. 2021
GEN_063,yield,2022,Mills_River_NC,3,South,1.2941500602743337,Ferrão et al. 2021
GEN_064,yield,2022,Mills_River_NC,3,North,1.972501268019422,Ferrão et al. 2021
GEN_065,yield,2022,Mills_River_NC,3,North,4.756249583813819,Ferrão et al. 2021
GEN_066,yield,2022,Mills_River_NC,3,North,2.721354466017381,Ferrão et al. 2021
GEN_067,yield,2022,Mills_River_NC,3,North,5.369743615964048,Ferrão et al. 2021
GEN_068,yield,2022,Mills_River_NC,3,North,3.585036140829602,Ferrão et al. 2021
GEN_069,yield,2022,Mills_River_NC,3,South,3.6770173610533528,Ferrão et al. 2021
GEN_070,yield,2022,Mills_River_NC,3,North,3.268202112086783,Ferrão et al. 2021
GEN_071,yield,2022,Mills_River_NC,3,North,3.1367152865616057,Ferrão et al. 2021
GEN_072,yield,2022,Mills_River_NC,3,North,3.3826179340220994,Ferrão et al. 2021
GEN_073,yield,2022,Mills_River_NC,3,North,3.5750955199539125,Ferrão et al. 2021
GEN_074,yield,2022,Mills_River_NC,3,North,3.9399008599640197,Ferrão et al. 2021
GEN_075,yield,2022,Mills_River_NC,3,North,2.5725790699600113,Ferrão et al. 2021
GEN_076,yield,2022,Mills_River_NC,3,North,2.4868121946346893,Ferrão et al. 2021
GEN_077,yield,2022,Mills_River_NC,3,South,2.2661925727660823,Ferrão et al. 2021
GEN_078,yield,2022,Mills_River_NC,3,South,2.2812477721432547,Ferrão et al. 2021
GEN_079,yield,2022,Mills_River_NC,3,North,2.33232358116806,Ferrão et al. 2021
GEN_080,yield,2022,Mills_River_NC,3,South,4.745780478944092,Ferrão et al. 2021
GEN_081,yield,2022,Mills_River_NC,3,South,2.0554296096810205,Ferrão et al. 2021
GEN_082,yield,2022,Mills_River_NC,3,North,2.2231777477171204,Ferrão et al. 2021
GEN_083,yield,2022,Mills_River_NC,3,North,2.06508461655326,Ferrão et al. 2021
GEN_084,yield,2022,Mills_River_NC,3,North,2.650153090917663,Ferrão et al. 2021
GEN_085,yield,2022,Mills_River_NC,3,South,1.8439876510154645,Ferrão et al. 2021
GEN_086,yield,2022,Mills_River_NC,3,South,4.337776350933268,Ferrão et al. 2021
GEN_087,yield,2022,Mills_River_NC,3,North,3.202320567803482,Ferrão et al. 2021
GEN_088,yield,2022,Mills_River_NC,3,South,3.764752326009245,Ferrão et al. 2021
GEN_089,yield,2022,Mills_River_NC,3,North,1.5489836284412817,Ferrão et al. 2021
GEN_090,yield,2022,Mills_River_NC,3,South,3.230644397121842,Ferrão et al. 2021
GEN_091,yield,2022,Mills_River_NC,3,South,4.266128151656795,Ferrão et al. 2021
GEN_092,yield,2022,Mills_River_NC,3,South,2.0717064381409527,Ferrão et al. 2021
GEN_093,yield,2022,Mills_River_NC,3,South,2.9601723286211903,Ferrão et al. 2021
GEN_094,yield,2022,Mills_River_NC,3,North,2.190203052046204,Ferrão et al. 2021
GEN_095,yield,2022,Mills_River_NC,3,North,3.2629584732041876,Ferrão et al. 2021
GEN_096,yield,2022,Mills_River_NC,3,North,3.5452684378925676,Ferrão et al. 2021
GEN_097,yield,2022,Mills_River_NC,3,South,4.788785600238407,Ferrão et al. 2021
GEN_098,yield,2022,Mills_River_NC,3,South,3.534923030754364,Ferrão et al. 2021
GEN_099,yield,2022,Mills_River_NC,3,North,3.9160950041972464,Ferrão et al. 2021
GEN_100,yield,2022,Mills_River_NC,3,North,5.016932766409317,Ferrão et al. 2021
GEN_001,yield,2022,Charleston_SC,1,North,2.7162621288894915,Ferrão et al. 2021
GEN_002,yield,2022,Charleston_SC,1,North,1.9338548300847227,Ferrão et al. 2021
GEN_003,yield,2022,Charleston_SC,1,South,1.7799205842260155,Ferrão et al. 2021
GEN_004,yield,2022,Charleston_SC,1,South,0.9017328107513061,Ferrão et al. 2021
GEN_005,yield,2022,Charleston_SC,1,South,2.4825571062658613,Ferrão et al. 2021
GEN_006,yield,2022,Charleston_SC,1,North,2.123984938168628,Ferrão et al. 2021
GEN_007,yield,2022,Charleston_SC,1,North,2.5109489525679107,Ferrão et al. 2021
GEN_008,yield,2022,Charleston_SC,1,South,-0.3937361466655869,Ferrão et al. 2021
GEN_009,yield,2022,Charleston_SC,1,South,1.6737595174492923,Ferrão et al. 2021
GEN_010,yield,2022,Charleston_SC,1,South,3.4593187171671294,Ferrão et al. 2021
GEN_011,yield,2022,Charleston_SC,1,South,1.3443686069385292,Ferrão et al. 2021
GEN_012,yield,2022,Charleston_SC,1,North,2.850145951431885,Ferrão et al. 2021
GEN_013,yield,2022,Charleston_SC,1,South,2.1400997716337273,Ferrão et al. 2021
GEN_014,yield,2022,Charleston_SC,1,North,3.2452003827890716,Ferrão et al. 2021
GEN_015,yield,2022,Charleston_SC,1,South,3.224438771175907,Ferrão et al. 2021
GEN_016,yield,2022,Charleston_SC,1,North,2.0149832003853594,Ferrão et al. 2021
GEN_017,yield,2022,Charleston_SC,1,North,3.6186719950419293,Ferrão et al. 2021
GEN_018,yield,2022,Charleston_SC,1,South,3.67640869572635,Ferrão et al. 2021
GEN_019,yield,2022,Charleston_SC,1,North,1.8371842245110774,Ferrão et al. 2021
GEN_020,yield,2022,Charleston_SC,1,North,3.137509297007553,Ferrão et al. 2021
